Brnd_Name,Gnrc_Name
Children's Chewable Multivitmn,Pedi Multivit No.25/Folic Acid
Children's Chewables,Pedi Multivit No.25/Folic Acid
Children's Ferrous Sulfate,Ferrous Sulfate
Children's Iron,Ferrous Sulfate
Children's Loratadine,Loratadine
Chlordiazepoxide HCl,Chlordiazepoxide HCl
Chlordiazepoxide-Amitriptyline,Amitriptyline/Chlordiazepoxide
Chlordiazepoxide-Clidinium,Chlordiazepoxide/Clidinium Br
Chlorhexidine Gluconate,Chlorhexidine Gluconate
Chloroprocaine HCl,Chloroprocaine HCl/PF
Chloroquine Phosphate,Chloroquine Phosphate
Chlorothiazide Sodium,Chlorothiazide Sodium
Chlorpromazine HCl*,Chlorpromazine HCl
Chlorthalidone,Chlorthalidone
Chlorzoxazone,Chlorzoxazone
Cholbam,Cholic Acid
Cholestyramine,Cholestyramine (With Sugar)
Cholestyramine Light,Cholestyramine/Aspartame
Chorionic Gonadotropin,"Chorionic Gonadotropin, Human"
Chromagen,Iron/C/Folate 6/B12/Zn/Stomach
Chromium,Chromic Chloride
Cialis,Tadalafil
Cibinqo,Abrocitinib
Ciclodan,Ciclopirox
Ciclopirox,Ciclopirox
Cidofovir,Cidofovir
Cilostazol,Cilostazol
Ciloxan,Ciprofloxacin HCl
Cimduo,Lamivudine/Tenofovir Disop Fum
Cimetidine,Cimetidine
Cimzia,Certolizumab PEGol
Cinacalcet HCl,Cinacalcet HCl
Cinqair,Reslizumab
Cinryze,C1 Esterase Inhibitor
Cinvanti,Aprepitant
Cipro,Ciprofloxacin
Cipro HC,Ciprofloxacin/Hydrocortisone
Cipro I.V.,Ciprofloxacin In 5 % Dextrose
Ciprodex,Ciprofloxacin HCl/Dexameth
Ciprofloxacin,Ciprofloxacin
Ciprofloxacin HCl*,Ciprofloxacin HCl
Ciprofloxacin HCl-Fluocinolone,Ciprofloxacin HCl/Fluocinolone
Ciprofloxacin-D5W,Ciprofloxacin In 5 % Dextrose
Ciprofloxacin-Dexamethasone,Ciprofloxacin HCl/Dexameth
Cisatracurium Besylate,Cisatracurium Besylate
Cisplatin,Cisplatin
Citalopram HBr,Citalopram Hydrobromide
Citranatal B-Calm,Prenatal 48/Iron/Folic Acid/B6
Citrucel,Methylcellulose
Citrus Calcium + D,Calcium Citrate/Vitamin D3
Citrus Calcium-Vitamin D3,Calcium Citrate/Vitamin D3
Cladribine,Cladribine
Claravis,Isotretinoin
Clarinex,Desloratadine
Clarinex-D 12 Hour,Desloratadine/Pseudoephedrine
Clariscan,Gadoterate Meglumine
Clarithromycin,Clarithromycin
Clarithromycin ER,Clarithromycin
Classic Prenatal,Prenatal Vit No.126/Iron/Folic
Clear Bandages,Adhesive Bandage
Clemastine Fumarate,Clemastine Fumarate
Clenpiq,Sod Picosulf/Mag Ox/Citric Ac
Cleocin,Clindamycin Phosphate
Cleocin HCl,Clindamycin HCl
Cleocin Pediatric,Clindamycin Palmitate HCl
Cleocin Phosphate In D5W,Clindamycin Phosphate/D5W
Cleocin Phosphate*,Clindamycin Phosphate
Cleocin T,Clindamycin Phosphate
Cleviprex,Clevidipine Butyrate
Climara,Estradiol
Climara Pro,Estradiol/Levonorgestrel
Clindacin Etz,Clindamycin Phosphate
Clindacin P,Clindamycin Phosphate
Clindagel,Clindamycin Phosphate
Clindamycin (Pediatric),Clindamycin Palmitate HCl
Clindamycin HCl,Clindamycin HCl
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos/Benzoyl Perox
Clindamycin Phos-Tretinoin,Clindamycin/Tretinoin
Clindamycin Phosphate*,Clindamycin Phosphate
Clindamycin Phosphate-D5W,Clindamycin Phosphate/D5W
Clindamycin-0.9% NaCl,Clindamycin In 0.9 % Sod Chlor
Clindamycin-Benzoyl Peroxide,Clindamycin Phos/Benzoyl Perox
Clindesse,Clindamycin Phosphate
Clinimix,Amino Acid 8 % In D14w
Clinimix E,Aa 4.25%/Calcium/Lytes/Dex 10%
Clinisol,Parenteral Amino Acid 15% No.5
Clinolipid,Fat Emulsion/Olive/Soy/Phospho
Clobazam,Clobazam
Clobetasol Emollient,Clobetasol Propionate/Emoll
Clobetasol Emulsion,Clobetasol Propionate/Emoll
Clobetasol Propionate,Clobetasol Propionate
Clobex,Clobetasol Propionate
Clocortolone Pivalate,Clocortolone Pivalate
Clodan,Clobetasol Propionate
Cloderm,Clocortolone Pivalate
Clomid,Clomiphene Citrate
Clomiphene Citrate,Clomiphene Citrate
Clomipramine HCl,Clomipramine HCl
Clonazepam,Clonazepam
Clonidine,Clonidine
Clonidine HCl,Clonidine HCl
Clonidine HCl ER,Clonidine HCl
Clopidogrel,Clopidogrel Bisulfate
Clorazepate Dipotassium,Clorazepate Dipotassium
Clorotekal,Chloroprocaine HCl/PF
Clotrimazole*,Clotrimazole
Clotrimazole-Betamethasone,Clotrimazole/Betamethasone Dip
Clozapine,Clozapine
Clozapine ODT,Clozapine
Clozaril,Clozapine
Co Q-10,Ubidecarenone
Co Q10,Ubidecarenone
Coagadex,Coagulation Factor X
Coartem,Artemether/Lumefantrine
Cocaine HCl*,Cocaine HCl
Cod Liver Oil,Cod Liver Oil
Codeine Sulfate,Codeine Sulfate
Coenzyme Q-10,Ubidecarenone
Coenzyme Q10,Ubidecarenone
Cogentin,Benztropine Mesylate
Colazal,Balsalazide Disodium
Colchicine,Colchicine
Colcrys,Colchicine
Colesevelam HCl,Colesevelam HCl
Colestid,Colestipol HCl
Colestipol HCl,Colestipol HCl
Colistimethate,Colistin (Colistimethate Na)
Coly-Mycin M Parenteral,Colistin (Colistimethate Na)
Combigan,Brimonidine Tartrate/Timolol
Combipatch,Estradiol/Norethindrone Acet
Combivent Respimat,Ipratropium/Albuterol Sulfate
Combivir,Lamivudine/Zidovudine
Cometriq,Cabozantinib S-Malate
Comirnaty,"Covid-19 Vac, Tris(Pfizer)/PF"
Complera,Emtricita/Rilpivirine/Tenof Df
Complete,"Multivit With Iron,Hematinic"
Complete Natal DHA,PNV Cmb 52/Iron/FA/Omega-3/DHA
Complete Senior,"Multivit With Iron,Minerals"
Completenate,Prenatal Vit 14/Iron Fum/Folic
Compro,Prochlorperazine
Comtan,Entacapone
Concerta,Methylphenidate HCl
Condoms,"Condoms, Latex, Lubricated"
Condylox,Podofilox
Constulose,Lactulose
Contrave,Naltrexone HCl/Bupropion HCl
Copaxone,Glatiramer Acetate
Copiktra,Duvelisib
Copper Chloride,Cupric Chloride
Cordran,Flurandrenolide
Coreg,Carvedilol
Coreg Cr,Carvedilol Phosphate
Corgard,Nadolol
Corifact,Factor XIII
Corlanor,IVabradine HCl
Cortef,Hydrocortisone
Cortenema,Hydrocortisone
Cortifoam,Hydrocortisone Acetate
Cortisporin-Tc,Neomyc/Colist/Hydrocort/Thonzn
Cortrophin,Corticotropin
Cortrosyn,Cosyntropin
Corvert,Ibutilide Fumarate
Corvita,Folic/Mvi Ther-Min/Lycop/Lut
Corvita 150,Iron/Folic Acid/C/B6/B12/Zinc
Corvite 150,"Iron,Carb/Folate6/Mv,Min No.41"
Corvite Fe,"Iron/Folate No.6/Mv,Mins No.40"
Cosela,Trilaciclib Dihydrochloride
Cosentyx (2 Syringes),Secukinumab
Cosentyx Pen,Secukinumab
Cosentyx Pen (2 Pens),Secukinumab
Cosentyx Syringe,Secukinumab
Cosmegen,Dactinomycin
Cosopt,Dorzolamide HCl/Timolol Maleat
Cosopt PF,Dorzolamide/Timolol/PF
Cosyntropin,Cosyntropin
Cotellic,Cobimetinib Fumarate
Cotempla XR-ODT,Methylphenidate
Coumadin,Warfarin Sodium
Covid19 Specimen Collect Ncpdp,Covid-19 Test Specimen Collect
Cozaar,Losartan Potassium
Creon,Lipase/Protease/Amylase
Cresemba*,Isavuconazonium Sulfate
Crestor,Rosuvastatin Calcium
Crinone,"Progesterone, Micronized"
Cromolyn Sodium*,Cromolyn Sodium
Crotan,Crotamiton
Cryselle,Norgestrel-Ethinyl Estradiol
Crysvita,Burosumab-Twza
Cubicin,Daptomycin
Cubicin Rf,Daptomycin
Cuprimine,Penicillamine
Cutaquig,Immun Glob G(IgG)-Hipp/Maltose
Cuvitru,Immun Glob G(IgG)/Gly/IgA Ov50
Cuvposa,Glycopyrrolate
Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12)
Cyclafem,Norethindrone-Ethin. Estradiol
Cyclobenzaprine HCl,Cyclobenzaprine HCl
Cyclobenzaprine HCl ER,Cyclobenzaprine HCl
Cyclogyl,Cyclopentolate HCl
Cyclomydril,Cyclopentolate/Phenylephrine
Cyclopentolate HCl,Cyclopentolate HCl
Cyclophosphamide*,Cyclophosphamide
Cycloserine,Cycloserine
Cycloset,Bromocriptine Mesylate
Cyclosporine Modified,"Cyclosporine, Modified"
Cyclosporine*,Cyclosporine
Cyklokapron,Tranexamic Acid
Cymbalta,Duloxetine HCl
CyproHEPtadine HCl,CyproHEPtadine HCl
Cyramza,Ramucirumab
Cyred,Desogestrel-Ethinyl Estradiol
Cyred Eq,Desogestrel-Ethinyl Estradiol
Cystadane,Betaine
Cystadrops,Cysteamine HCl
Cystagon,Cysteamine Bitartrate
Cystaran,Cysteamine HCl
Cytarabine,Cytarabine
Cytogam,Cytomegalovirus Immune Globuln
Cytomel,Liothyronine Sodium
Cytotec,Misoprostol
Cytra-2,Citric Acid/Sodium Citrate
D-Vi-Sol,Cholecalciferol (Vitamin D3)
D.H.E.45,Dihydroergotamine Mesylate
D3-2000,Cholecalciferol (Vitamin D3)
Dabigatran Etexilate,Dabigatran Etexilate Mesylate
Dacarbazine,Dacarbazine
Dacogen,Decitabine
Dactinomycin,Dactinomycin
Daily Multivitamin With D3,Multivit-Minerals/Folic Acid
Daily Vitamin Formula-Iron,Multivitamin/Iron/Folic Acid
Daily Vite With Iron,Multivitamin With Iron
Daily-Vite,Multivitamin With Folic Acid
Dairy Digest,Lactase
Dalfampridine ER,Dalfampridine
Daliresp,Roflumilast
Dalvance,Dalbavancin HCl
Danazol,Danazol
Dantrium*,Dantrolene Sodium
Dantrolene Sodium,Dantrolene Sodium
Danyelza,Naxitamab-Gqgk
Dapsone*,Dapsone
Daptomycin,Daptomycin
Daraprim,Pyrimethamine
Darifenacin ER,Darifenacin Hydrobromide
Dartisla,Glycopyrrolate
Darzalex,Daratumumab
Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj
Dasetta,Norethindrone-Ethin. Estradiol
Daunorubicin HCl,Daunorubicin HCl
Daysee,L-Norgest/E.Estradiol-E.Estrad
Daytrana,Methylphenidate
Dayvigo,Lemborexant
Ddavp*,Desmopressin Acetate
Deblitane,Norethindrone
Debrox,Carbamide Peroxide
Decadron,Dexamethasone
Decara,Cholecalciferol (Vitamin D3)
Decitabine,Decitabine
Deferasirox,Deferasirox
Deferiprone,Deferiprone
Deferiprone (3 Times A Day),Deferiprone
Deferoxamine Mesylate,Deferoxamine Mesylate
Definity,Perflutren Lipid Microspheres
Definity RT,Perflutren Lipid Microspheres
Delestrogen,Estradiol Valerate
Delstrigo,Doravirine/Lamivu/Tenofov Diso
Delzicol,Mesalamine
Demeclocycline HCl,Demeclocycline HCl
Demerol,Meperidine HCl
Demser,Metyrosine
Denavir,Penciclovir
Denta 5000 Plus,Fluoride (Sodium)
Dentagel,Fluoride (Sodium)
Depakote,Divalproex Sodium
Depakote ER,Divalproex Sodium
Depakote Sprinkle,Divalproex Sodium
Depend,"Diaper,Brief,Adult, Disposable"
Depend Guards For Men,"Incontinence Pad,Liner,Disp"
Depend Overnite,"Diaper,Brief,Adult, Disposable"
Depend Protection,"Diaper,Brief,Adult, Disposable"
Depend Real Fit,"Diaper,Brief,Adult, Disposable"
Depend Silhouette,"Diaper,Brief,Adult, Disposable"
Depo-Estradiol,Estradiol Cypionate
Depo-Medrol,Methylprednisolone Acetate
Depo-Provera,Medroxyprogesterone Acetate
Depo-Subq Provera 104,Medroxyprogesterone Acetate
Depo-Testosterone,Testosterone Cypionate
Derma-Smoothe-FS,Fluocinolone Acetonide
Dermacinrx Davimet,Multivitamin No.58/Folic Acid
Dermacinrx Dotremin,Vitamin D3/Folic Acid
Dermacinrx Folitin-Z,Mv-Mn No.89/Iron/Folic Acid
Dermacinrx Folixapure,Vitamin D3/Folic Acid
Dermacinrx Lidogel,Lidocaine HCl
Dermacinrx Lidorex,Lidocaine HCl
Dermacinrx Multitam,Multivit-Min No.86/Folic Acid
Dermacinrx Prenatrix,Prenatal Vit No.170/Iron/Folic
Dermacinrx Prenatryl,Prenatal Vit No.170/Iron/Folic
Dermacinrx Pretrate,Prenatal Vit No.170/Iron/Folic
Dermacinrx Probinate,L. Acidophilus/Bifid. Animalis
Dermacinrx Probitran,L. Acidophilus/Bifid. Animalis
Dermacinrx Venexa,Multivit-Min No.86/Folic Acid
Dermacinrx Venexa Fe,Mv-Mn No.86/Iron/Folic Acid
Dermacinrx Ventrixyl,Multivit-Min No.86/Folic Acid
Dermacinrx Vitramyn,Multivit-Min No.86/Folic Acid
Dermotic,Fluocinolone Acetonide Oil
Descovy,Emtricitabine/Tenofov Alafenam
Desferal Mesylate,Deferoxamine Mesylate
Desipramine HCl,Desipramine HCl
Desloratadine,Desloratadine
Desmopressin Acetate,Desmopressin (Nonrefrigerated)
Desmopressin Acetate*,Desmopressin Acetate
Desogestr-Eth Estrad Eth Estra,Desog-E.Estradiol/E.Estradiol
Desogestrel-Ethinyl Estradiol,Desogestrel-Ethinyl Estradiol
Desonide,Desonide
Desoximetasone,Desoximetasone
Desvenlafaxine ER,Desvenlafaxine
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate
Detrol,Tolterodine Tartrate
Detrol La,Tolterodine Tartrate
Dexamethasone,Dexamethasone
Dexamethasone Intensol,Dexamethasone
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/PF
Dexamethasone Sodium Phosphate*,Dexamethasone Sodium Phosphate
Dexedrine,Dextroamphetamine Sulfate
Dexilant,Dexlansoprazole
Dexlansoprazole Dr,Dexlansoprazole
Dexmedetomidine HCl,Dexmedetomidine HCl
Dexmedetomidine-0.9% NaCl,Dexmedetomidine In 0.9 % NaCl
Dexmedetomidine-D5W,Dexmedetomidine In Dextrose 5%
Dexmethylphenidate HCl,Dexmethylphenidate HCl
Dexmethylphenidate HCl ER,Dexmethylphenidate HCl
Dexrazoxane,Dexrazoxane HCl
Dextenza,Dexamethasone
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate
Dextroamphetamine Sulfate ER,Dextroamphetamine Sulfate
Dextroamphetamine-Amphet ER,Dextroamphetamine/Amphetamine
Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine
Dextrose 10%-0.45% NaCl,Dextrose 10 % And 0.45 % NaCl
Dextrose 2.5%-0.45% NaCl,Dextrose 2.5 % And 0.45 % NaCl
Dextrose 5%-0.2% NaCl,Dextrose 5 %-0.2 % Sod Chlorid
Dextrose 5%-0.2% NaCl-KCl,Potassium Chloride/D5-0.2%NaCl
Dextrose 5%-0.225% NaCl,Dextrose 5 %-0.2 % Sod Chlorid
Dextrose 5%-0.45% NaCl,Dextrose 5 %-0.45 % Sod Chlord
Dextrose 5%-0.45% NaCl-KCl,Potassium Chloride/D5-0.45NaCl
Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl
Dextrose 5%-1/2ns-KCl,Potassium Chloride/D5-0.45NaCl
Dextrose 5%-Electrolyte #48,Electrolyte-48 Solution/D5W
Dextrose 5%-Ns-KCl,Potassium Chloride/D5-0.9%NaCl
Dextrose In Lactated Ringers,Dextrose 5%-Lactated Ringers
Dextrose In Water,Dextrose 10 % In Water
Dexycu,Dexamethasone/PF
Dhivy,Carbidopa/Levodopa
Diacomit,Stiripentol
Dialyvite,Folic Acid/Vit B Complex And C
Dialyvite 3000,Folic Acid/B Cplx/C/Selen/Zinc
Dialyvite 5000,Multivit-Mins No.11/Folic Acid
Dialyvite 800,Folic Acid/Vit B Complex And C
Dialyvite 800 With Zinc,Vit B Complx C/Folic Acid/Zinc
Dialyvite 800-Ultra D,"Folic Ac/Vit Bcomp,C/Zn/Vit D3"
Dialyvite Supreme D,Multivit-Mins 25/Folic Acid/D3
Dialyvite Vitamin D,Cholecalciferol (Vitamin D3)
Dialyvite Vitamin D3 Max,Cholecalciferol (Vitamin D3)
Dialyvite Zinc,B Complex 11/Folic/C/Biot/Zinc
Dianeal Pd-2 W-1.5% Dextrose,Periton. Dialysis 4-1.5 % Dext
Dianeal With 1.5% Dextrose,Perit. Dialysis No.6-1.5 % Dex
Dianeal With 2.5% Dextrose,Periton.Dialysis 7-2.5 % Dextr
Diastat,Diazepam
Diastat Acudial,Diazepam
Diazepam*,Diazepam
Diazoxide,Diazoxide
Diclegis,Doxylamine Succinate/Vit B6
Diclofenac Epolamine,Diclofenac Epolamine
Diclofenac Potassium,Diclofenac Potassium
Diclofenac Sodium ER,Diclofenac Sodium
Diclofenac Sodium*,Diclofenac Sodium
Diclofenac Sodium-Misoprostol,Diclofenac Sodium/Misoprostol
Dicloxacillin Sodium,Dicloxacillin Sodium
Dicyclomine HCl*,Dicyclomine HCl
Diethylpropion HCl,Diethylpropion HCl
Diethylpropion HCl ER,Diethylpropion HCl
Differin,Adapalene
Dificid,Fidaxomicin
Diflorasone Diacetate,Diflorasone Diacetate
Diflucan,Fluconazole
Diflunisal,Diflunisal
Difluprednate,Difluprednate
Digitek,Digoxin
Digox,Digoxin
Digoxin*,Digoxin
Dihydroergotamine Mesylate*,Dihydroergotamine Mesylate
Dilantin,Phenytoin
Dilantin-125,Phenytoin
Dilaudid,Hydromorphone HCl
Dilt-XR,Diltiazem HCl
Diltiazem 12hr ER,Diltiazem HCl
Diltiazem 24hr ER,Diltiazem HCl
Diltiazem 24hr ER (Cd),Diltiazem HCl
Diltiazem 24hr ER (La),Diltiazem HCl
Diltiazem 24hr ER (XR),Diltiazem HCl
Diltiazem HCl*,Diltiazem HCl
Diluent For Treprostinil,Diluent For Treprostinil (Gly)
Diluent-Merck Live Virus Vacc,"Diluent 1,Live Virus Vac(Swfi)"
Dimenhydrinate,Dimenhydrinate
Dimethyl Fumarate,Dimethyl Fumarate
Diovan,Valsartan
Diovan HCT,Valsartan/Hydrochlorothiazide
Dipentum,Olsalazine Sodium
Diphenhydramine HCl*,Diphenhydramine HCl
Diphenoxylate-Atropine,Diphenoxylate HCl/Atropine
Diprivan,Propofol
Diprolene,Betamethasone/Propylene Glyc
Dipyridamole*,Dipyridamole
Diskets,Methadone HCl
Disopyramide Phosphate,Disopyramide Phosphate
Disulfiram,Disulfiram
Ditropan XL,Oxybutynin Chloride
Diuril,Chlorothiazide
Divalproex Sodium,Divalproex Sodium
Divalproex Sodium ER,Divalproex Sodium
Divigel,Estradiol
Dobutamine HCl,Dobutamine HCl
Dobutamine HCl In Dextrose,Dobutamine HCl In Dextrose 5 %
Dobutamine HCl-D5W,Dobutamine HCl In Dextrose 5 %
Docetaxel,Docetaxel
Docusate Sodium,Docusate Sodium
Dodex,Cyanocobalamin (Vitamin B-12)
Dofetilide,Dofetilide
Dojolvi,TriHEPtanoin
Dolishale,Levonorgestrel/Ethin.Estradiol
Donepezil HCl,Donepezil HCl
Donepezil HCl ODT,Donepezil HCl
Donnatal,Phenobarb/Hyoscy/Atropine/Scop
Dopamine HCl,Dopamine HCl
Dopamine HCl In 5% Dextrose,Dopamine HCl In Dextrose 5 %
Dopram,Doxapram HCl
Doptelet,Avatrombopag Maleate
Doryx Mpc,Doxycycline Hyclate
Dorzolamide HCl,Dorzolamide HCl
Dorzolamide-Timolol,Dorzolamide HCl/Timolol Maleat
Dosoquin,Cholecalciferol (Vitd3)/Vit K2
Dotti,Estradiol
Dovato,Dolutegravir Sodium/Lamivudine
Dovonex,Calcipotriene
Doxazosin Mesylate,Doxazosin Mesylate
Doxepin HCl*,Doxepin HCl
Doxercalciferol*,Doxercalciferol
Doxil,Doxorubicin HCl PEG-Liposomal
Doxorubicin HCl,Doxorubicin HCl
Doxorubicin HCl Liposome,Doxorubicin HCl PEG-Liposomal
Doxy 100,Doxycycline Hyclate
Doxycycline Hyclate*,Doxycycline Hyclate
Doxycycline Ir-Dr,Doxycycline Monohydrate
Doxycycline Monohydrate,Doxycycline Monohydrate
Doxylamine Succ-Pyridoxine HCl,Doxylamine Succinate/Vit B6
Drisdol,Ergocalciferol (Vitamin D2)
Drizalma Sprinkle,Duloxetine HCl
Dronabinol,Dronabinol
Droperidol,Droperidol
Drospirenone-Eth Estra-Levomef,Drospir/Eth Estra/Levomefol Ca
Drospirenone-Ethinyl Estradiol,Ethinyl Estradiol/Drospirenone
Droxia,Hydroxyurea
Droxidopa,Droxidopa
Dsuvia,Sufentanil Citrate
Duaklir Pressair,Aclidinium Brom/Formoterol Fum
Duexis,Ibuprofen/FAmotidine
Dulera,Mometasone/Formoterol
Duloxetine HCl,Duloxetine HCl
Duobrii,Halobetasol Propion/Tazarotene
Duoneb,Ipratropium/Albuterol Sulfate
Duopa,Carbidopa/Levodopa
Dupixent Pen,Dupilumab
Dupixent Syringe,Dupilumab
Duraclon,Clonidine HCl/PF
Duramorph,Morphine Sulfate/PF
Durezol,Difluprednate
Durysta,Bimatoprost
Dutasteride,Dutasteride
Dutasteride-Tamsulosin,Dutasteride/Tamsulosin HCl
Dyanavel XR,Amphetamine
Dymista,Azelastine/Fluticasone
Dysport,Abobotulinumtoxina
E.E.S. 200,Erythromycin Ethylsuccinate
E.E.S. 400,Erythromycin Ethylsuccinate
Ear Drops,Carbamide Peroxide
Easivent,"Inhaler, Assist Devices"
Ec-Naproxen,Naproxen
Econazole Nitrate,Econazole Nitrate
Ed-Spaz,Hyoscyamine Sulfate
Edarbi,Azilsartan Medoxomil
Edarbyclor,Azilsartan Med/Chlorthalidone
Edecrin,Ethacrynic Acid
Edex,Alprostadil
Edluar,Zolpidem Tartrate
Edurant,Rilpivirine HCl
Efavirenz,Efavirenz
Efavirenz-Emtric-Tenofov Disop,Efavirenz/Emtricit/Tenofovr Df
Efavirenz-Lamivu-Tenofov Disop,Efavirenz/Lamivu/Tenofov Disop
Effer-K,Potassium Bicarbonate/Cit Ac
Effexor XR,Venlafaxine HCl
Effient,Prasugrel HCl
Efudex,Fluorouracil
Egrifta Sv,Tesamorelin Acetate
Elaprase,Idursulfase
Elcys,Cysteine HCl
Elelyso,Taliglucerase Alfa
Elepsia XR,Levetiracetam
Elestrin,Estradiol
Eletriptan HBr,Eletriptan Hydrobromide
Elidel,Pimecrolimus
Eligard,Leuprolide Acetate
Elinest,Norgestrel-Ethinyl Estradiol
Eliquis,Apixaban
Elite-Ob,Multivit-Min69/Iron/Folic Acid
Elitek,Rasburicase
Ella,Ulipristal Acetate
Ellence,Epirubicin HCl
Elliotts B,Chemo Therapy Diluent No.1/PF
Elmiron,Pentosan Polysulfate Sodium
Eloctate,"Antihemoph.FVIII Rec,Fc Fusion"
Eloxatin,Oxaliplatin
Eluryng,Etonogestrel/Ethinyl Estradiol
Elyxyb,Celecoxib
Emcyt,Estramustine Phosphate Sodium
Emend,Aprepitant
Emerphed,Ephedrine Sulfate
Emflaza,Deflazacort
Emgality Pen,Galcanezumab-Gnlm
Emgality Syringe,Galcanezumab-Gnlm
Emoquette,Desogestrel-Ethinyl Estradiol
Empaveli,PEGcetacoplan
Empliciti,Elotuzumab
Emsam,Selegiline
Emtricitabine,Emtricitabine
Emtricitabine-Tenofovir Disop,Emtricitabine/Tenofovir (Tdf)
Emtriva,Emtricitabine
Emverm,Mebendazole
Enalapril Maleate,Enalapril Maleate
Enalapril-Hydrochlorothiazide,Enalapril/Hydrochlorothiazide
Enalaprilat,Enalaprilat Dihydrate
Enbrace Hr,Multivit41/Iron/Folate8/Ps-DHA
Enbrel,Etanercept
Enbrel Mini,Etanercept
Enbrel Sureclick,Etanercept
Endari,Glutamine
Endocet,Oxycodone HCl/Acetaminophen
Endometrin,"Progesterone, Micronized"
Enema,"Sodium Phosphate,Mono-Dibasic"
Enfagrow Todlr Nxt Stp Non-Gmo,"Pedi Nutrition,Milk,Iron/DHA"
Enfamil,Water
Enfamil A.R.,"Infant Formula, Iron/DHA/Ara"
Enfamil Enfacare,"Infant Formula, Iron/DHA/Ara"
Enfamil Gentlease,"Infant Formula, Iron/DHA/Ara"
Enfamil Infant,"Infant Formula, Iron/DHA/Ara"
Enfamil Neuro Enfacare Non-Gmo,"Infant Formula, Iron/DHA/Ara"
Enfamil Neuro Gentlease Nongmo,"Infant Formula, Iron/DHA/Ara"
Enfamil Neuropro Non-Gmo,"Infant Formula, Iron/DHA/Ara"
Enfamil Prosobee,"Inf Form,Soy,Iron,Lf/DHA/Ara"
Enfaport,"Infant Formula, Metabolic,Iron"
Enhertu,Fam-Trastuzumab Deruxtecn-Nxki
Enjaymo,Sutimlimab-Jome
Enlyte,Iron/FA/DHA/EPA/FAd/Nadh/Mv47
Enoxaparin Sodium,Enoxaparin Sodium
Enpresse,Levonorgestrel/Ethin.Estradiol
Enskyce,Desogestrel-Ethinyl Estradiol
Enspryng,Satralizumab-Mwge
Enstilar,Calcipotriene/Betamethasone
Entacapone,Entacapone
Entecavir,Entecavir
Entresto,Sacubitril/Valsartan
Entyvio,Vedolizumab
Enulose,Lactulose
Envarsus XR,Tacrolimus
Envive,"L.Acidoph,Paracasei, B.Lactis"
Eovist,Gadoxetate Disodium
Epaned,Enalapril Maleate
Epclusa,Sofosbuvir/Velpatasvir
Ephedrine Sulfate*,Ephedrine Sulfate
Epidiolex,Cannabidiol (Cbd)
Epiduo Forte,Adapalene/Benzoyl Peroxide
Epifoam,Hydrocortisone/Pramoxine
Epinastine HCl,Epinastine HCl
Epinephrine,Epinephrine
Epipen,Epinephrine
Epipen 2-Pak,Epinephrine
Epipen Jr,Epinephrine
Epipen Jr 2-Pak,Epinephrine
Epirubicin HCl,Epirubicin HCl
Epitol,Carbamazepine
Epivir,Lamivudine
Epivir Hbv,Lamivudine
Eplerenone,Eplerenone
Epogen,Epoetin Alfa
Epoprostenol Sodium,Epoprostenol Sodium
Eprontia,Topiramate
Epsolay,Benzoyl Peroxide
Eptifibatide,Eptifibatide
Epzicom,Abacavir Sulfate/Lamivudine
Equetro,Carbamazepine
Eraxis (Water Diluent),Anidulafungin
Erbitux,Cetuximab
Ergocalciferol,Ergocalciferol (Vitamin D2)
Erivedge,Vismodegib
Erleada,Apalutamide
Erlotinib HCl,Erlotinib HCl
Errin,Norethindrone
Ertaczo,Sertaconazole Nitrate
Ertapenem,Ertapenem Sodium
Ery,Erythromycin Base In Ethanol
Ery-Tab,Erythromycin Base
Eryped 200,Erythromycin Ethylsuccinate
Eryped 400,Erythromycin Ethylsuccinate
Erythrocin Lactobionate,Erythromycin Lactobionate
Erythrocin Stearate,Erythromycin Stearate
Erythromycin,Erythromycin Base In Ethanol
Erythromycin Ethylsuccinate,Erythromycin Ethylsuccinate
Erythromycin*,Erythromycin Base
Erythromycin-Benzoyl Peroxide,Erythromycin/Benzoyl Peroxide
Esbriet,Pirfenidone
Escitalopram Oxalate,Escitalopram Oxalate
Esgic,Butalb/Acetaminophen/Caffeine
Esmolol HCl,Esmolol HCl
Esmolol HCl-Sodium Chloride,"Esmolol In Sodium Chloride,Iso"
Esmolol HCl-Water,Esmolol HCl In Sterile Water
Esomeprazole Magnesium,Esomeprazole Magnesium
Esomeprazole Sodium,Esomeprazole Sodium
Esperoct,"FVIII Rec,B-Dom Trunc PEG-Exei"
Estarylla,Norgestimate-Ethinyl Estradiol
Estazolam,Estazolam
Estrace*,Estradiol
Estradiol (Once Weekly),Estradiol
Estradiol (Twice Weekly),Estradiol
Estradiol Valerate,Estradiol Valerate
Estradiol*,Estradiol
Estradiol-Norethindrone Acetat,Estradiol/Norethindrone Acet
Estring,Estradiol
