Brnd_Name,Total # of Manufacturers,2018 Spent on Drug,2019 Spent on Drug,2020 Spent on Drug,2021 Spent on Drug,2022 Spent on Drug
Sotalol Af,4,"$78,931.24","$75,895.41","$90,201.51","$97,085.63","$66,850.82"
Clindamycin Phos-Tretinoin,4,"$357,964.58","$366,412.86","$350,526.18","$443,095.57","$655,199.10"
Epinastine HCl,4,"$527,194.26","$549,479.48","$400,986.19","$332,043.43","$418,904.08"
Galantamine HBr,4,"$57,523.04","$82,877.69","$97,918.36","$106,784.49","$116,644.79"
Dacarbazine,4,"$2,147,671.10","$1,230,943.75","$1,881,141.77","$1,196,181.04","$2,201,355.95"
Colistimethate,4,"$926,192.00","$2,013,861.48","$3,025,545.37","$2,926,954.34","$3,252,650.09"
Dactinomycin,4,"$509,426.36","$1,188,782.53","$1,257,326.56","$1,328,515.67","$969,692.44"
Risperidone ODT,4,"$5,429,338.72","$5,041,505.48","$5,473,649.50","$5,593,765.42","$4,978,784.81"
Tolvaptan,4,$0.00,$0.00,"$781,028.07","$3,629,654.74","$2,892,141.63"
Gatifloxacin,4,"$474,536.10","$259,506.34","$165,441.25","$213,872.23","$135,905.64"
Sevelamer HCl,4,$0.00,"$10,463,917.98","$16,145,394.29","$14,888,491.75","$13,489,214.07"
Dantrolene Sodium,4,"$2,093,485.52","$1,914,660.58","$1,855,528.55","$1,707,152.24","$1,524,421.50"
Thiothixene,4,"$2,265,036.77","$561,875.26","$840,630.75","$984,939.05","$892,590.50"
Zyvox,4,"$520,828.34","$332,326.27","$186,229.28","$139,701.08","$90,425.39"
Icosapent Ethyl,4,$0.00,$0.00,"$755,622.23","$11,103,347.60","$31,101,750.82"
Butorphanol Tartrate*,4,"$464,387.74","$422,593.08","$577,935.45","$550,661.71","$495,967.15"
Betaxolol HCl*,4,"$139,489.85","$130,660.04","$155,437.24","$167,210.61","$139,679.51"
Indomethacin ER,4,"$492,519.20","$359,725.96","$299,599.65","$285,755.42","$251,414.37"
Carbidopa-Levodopa-Entacapone,4,"$490,971.91","$599,981.09","$397,274.90","$469,899.85","$398,079.24"
Indapamide,4,"$436,647.26","$447,361.66","$446,952.12","$454,135.31","$499,349.10"
Cardene I.V.,4,"$32,322.32","$75,501.19","$98,170.45","$143,367.40","$204,375.66"
Aminophylline,4,"$1,621,451.69","$1,388,040.20","$792,699.82","$937,389.10","$626,064.11"
Imipenem-Cilastatin Sodium,4,"$860,013.29","$786,670.53","$660,435.17","$1,031,567.85","$649,459.20"
Ifosfamide,4,"$408,306.49","$379,479.84","$358,544.16","$393,767.48","$241,780.42"
Amlodipine-Valsartan-HCTZ,4,"$595,757.48","$502,287.56","$593,665.16","$154,172.37","$253,367.59"
Zolmitriptan ODT,4,"$267,266.04","$283,733.10","$334,703.98","$415,422.34","$424,204.92"
Carvedilol ER,4,"$1,568,115.74","$1,986,740.43","$1,971,852.90","$2,032,685.18","$1,848,121.56"
IVermectin*,4,"$1,134,459.29","$1,407,799.96","$2,203,524.44","$6,219,096.36","$4,190,576.53"
Meperidine HCl,4,"$1,922,954.74","$2,639,337.42","$2,756,855.48","$2,725,187.08","$3,034,155.68"
Tropicamide,4,"$44,886.86","$727,448.74","$956,302.05","$1,091,505.96","$902,120.63"
Vilazodone HCl,4,$0.00,$0.00,$0.00,$0.00,"$11,804,593.64"
Naratriptan HCl,4,"$1,227,323.31","$1,192,829.04","$1,261,538.38","$1,341,894.44","$1,340,437.98"
Acarbose,4,"$1,294,079.80","$1,517,841.99","$1,453,894.05","$1,597,573.66","$1,479,027.62"
Nevirapine,4,"$105,929.89","$96,521.05","$93,293.93","$106,465.01","$97,013.43"
Veo Insulin Syringe,4,$0.00,$0.00,$0.00,"$1,274.80","$10,332.00"
Zafirlukast,4,"$1,465,358.77","$1,273,533.10","$1,162,511.71","$1,106,264.75","$1,087,514.00"
Hydrocodone-Ibuprofen,4,"$890,732.82","$757,984.18","$605,185.89","$564,981.57","$525,671.67"
Zinc Sulfate*,4,"$2,624,368.03","$3,097,631.90","$2,938,546.76","$3,051,289.93","$4,692,965.94"
Polymyxin B Sulfate,4,"$27,237.93","$454,937.41","$672,053.32","$526,857.14","$633,179.49"
Minoxidil,4,"$746,386.40","$868,265.04","$881,571.25","$813,372.06","$997,743.07"
Butalb-Acetaminoph-Caff-Codein,4,"$2,546,965.44","$1,533,241.15","$1,320,282.45","$1,299,331.64","$1,235,907.97"
Buprenorphine,4,"$7,767,026.51","$10,110,950.33","$8,884,545.04","$8,884,347.40","$11,477,454.09"
Minocycline HCl ER,4,"$688,421.85","$780,701.90","$661,472.09","$909,687.31","$723,721.97"
Budesonide Dr,4,"$5,276,933.30","$4,924,940.74","$2,787,354.49","$3,370,494.45","$3,334,474.39"
Potassium Chloride-0.9% NaCl,4,"$1,018,372.42","$2,638,151.18","$2,802,526.25","$2,348,758.09","$2,357,025.37"
Calcipotriene-Betamethasone,4,$0.00,$0.00,"$625,165.06","$966,722.33","$845,370.38"
Aerochamber Plus Flow-Vu,4,"$229,329.48","$301,887.44","$427,856.79","$614,008.50","$505,511.93"
Ketamine HCl,4,"$947,943.90","$2,083,623.11","$3,992,964.99","$6,614,685.34","$6,196,512.37"
Calcitonin-Salmon*,4,"$669,720.42","$570,981.78","$459,151.35","$1,124,619.49","$1,108,785.59"
Ziprasidone Mesylate,4,$0.00,$0.00,"$119,736.96","$520,882.22","$771,423.11"
Calcium Chloride,4,"$140,700.98","$326,699.90","$305,307.44","$317,005.96","$481,194.12"
Brimonidine Tartrate-Timolol,4,$0.00,$0.00,$0.00,$0.00,"$3,927,147.92"
Pioglitazone-Metformin,4,"$1,051,971.80","$878,587.95","$589,903.59","$590,766.23","$420,844.85"
Insulin Syringe,4,$0.00,$0.00,"$6,064.11","$7,837.59","$26,406.01"
Methylphenidate La,4,"$10,653,963.63","$12,690,224.85","$10,933,654.37","$12,678,254.69","$12,726,040.66"
Inspirachamber,4,"$154,322.15","$87,779.46","$14,810.53","$7,230.57","$6,292.98"
Lanthanum Carbonate,4,"$5,365,312.19","$5,700,465.89","$6,496,772.75","$7,805,590.93","$7,244,639.47"
Polymyxin B Sul-Trimethoprim,4,"$8,188,304.82","$9,346,541.96","$4,875,288.02","$4,561,127.12","$9,527,111.90"
Bacitracin*,4,"$2,742,043.78","$5,214,493.04","$3,675,952.40","$1,459,242.19","$81,955.71"
Mannitol,4,"$959,176.21","$1,167,445.68","$1,178,283.17","$763,121.20","$3,391,104.74"
Griseofulvin Ultramicrosize,4,"$1,024,011.10","$2,161,135.33","$1,709,895.19","$1,649,882.79","$1,668,105.47"
Orphenadrine Citrate,4,"$926,604.09","$1,038,682.52","$1,039,269.23","$1,180,862.21","$1,267,463.87"
Aripiprazole ODT,4,"$3,174,053.45","$5,410,679.26","$7,127,313.25","$8,345,739.51","$8,594,571.77"
Loteprednol Etabonate,4,$0.00,"$361,896.49","$1,243,736.71","$1,909,495.74","$2,206,323.62"
Pyridostigmine Bromide ER,4,"$2,641,422.31","$2,342,944.82","$2,081,601.07","$2,390,269.37","$2,320,130.03"
Loxapine,4,"$1,826,311.09","$1,817,413.08","$1,605,579.22","$1,450,446.31","$1,645,979.37"
Asenapine Maleate,4,$0.00,$0.00,"$284,520.62","$12,835,318.96","$10,192,912.88"
Atovaquone-Proguanil HCl,4,"$1,773,285.04","$1,790,221.81","$784,062.70","$1,786,605.70","$2,071,961.90"
Oxymorphone HCl,4,"$931,633.94","$709,320.37","$516,173.13","$439,209.62","$281,673.45"
Heparin Sodium-0.9% NaCl,4,"$2,664,410.08","$7,671,596.95","$10,588,848.47","$9,087,793.27","$6,355,304.88"
Vitamin B-6,4,"$52,022.33","$79,601.63","$51,332.54","$67,950.14","$71,721.70"
Propylthiouracil,4,"$1,555,711.25","$1,525,567.31","$1,511,731.75","$1,531,287.48","$1,405,893.42"
Neomycin-Polymyxin-Dexameth,4,"$4,876,561.32","$5,148,823.30","$3,963,675.54","$5,499,036.53","$6,202,151.52"
Olmesartan-Amlodipine-HCTZ,4,"$624,806.11","$668,236.26","$620,279.07","$684,166.82","$772,529.08"
L-Methylfolate Calcium,3,"$141,481.54","$121,045.66","$223,173.32","$191,540.19","$252,601.73"
Cyclosporine Modified,3,"$5,326,453.05","$4,776,891.10","$4,515,752.37","$4,482,935.94","$3,965,890.77"
Estazolam,3,"$83,876.40","$88,281.30","$139,162.57","$161,029.25","$135,728.29"
Bromfenac Sodium,3,"$174,622.52","$240,214.08","$187,308.81","$230,089.77","$245,126.64"
Tetracaine HCl*,3,"$127,509.73","$734,243.37","$904,172.14","$969,458.24","$699,311.37"
Tetracaine HCl,3,"$16,181.88","$100,143.38","$58,910.71","$28,052.69","$49,866.39"
Brinzolamide,3,$0.00,$0.00,$0.00,"$1,817,810.42","$1,799,924.06"
Oxazepam,3,"$544,834.08","$485,303.95","$524,427.98","$588,902.47","$591,179.68"
Vinorelbine Tartrate,3,"$271,838.63","$127,542.76","$344,515.49","$154,671.20","$199,034.90"
Sod Ferric Gluconate Complex,3,"$3,178,346.71","$1,656,706.02","$1,265,353.39","$1,953,685.70","$2,483,497.12"
Varenicline Tartrate,3,$0.00,$0.00,$0.00,"$11,264,749.35","$77,288,511.86"
Vasopressin,3,$0.00,$0.00,$0.00,$0.00,"$46,668.91"
Miglustat,3,"$2,331,817.97","$4,721,886.74","$5,171,600.43","$7,463,348.39","$7,922,294.31"
Fentanyl Citrate,3,"$1,825,756.36","$1,808,422.36","$2,006,462.56","$1,773,224.68","$1,409,898.26"
Aspirin,3,$0.00,$0.00,$191.18,"$1,103.94","$1,710.26"
Pimecrolimus,3,"$4,560.93","$11,343,958.05","$12,573,365.61","$9,815,685.11","$9,476,777.62"
Bosentan,3,$0.00,"$1,594,449.20","$2,679,653.97","$2,201,670.62","$1,667,450.95"
Dilaudid,3,"$10,224,479.20","$21,523,215.57","$22,325,575.11","$20,949,187.58","$27,294,860.59"
Lovenox,3,"$19,447,965.37","$13,850,762.05","$9,384,483.04","$9,684,914.87","$8,093,012.87"
Estradiol-Norethindrone Acetat,3,"$873,894.05","$1,003,670.79","$1,158,234.13","$1,409,243.74","$1,212,641.67"
Ammonium Lactate,3,"$7,900,971.71","$9,272,246.65","$7,437,766.18","$8,872,047.83","$8,215,886.50"
Valproate Sodium,3,"$285,235.49","$355,443.19","$290,352.77","$412,833.14","$346,693.37"
Ergocalciferol,3,"$70,139.32","$172,240.55","$214,925.07","$214,294.29","$200,635.94"
Anectine,3,"$1,792,700.97","$2,096,051.60","$1,229,459.38","$1,238,487.58","$723,365.94"
Orphenadrine Citrate ER,3,"$1,508,196.95","$1,409,798.89","$977,385.56","$1,032,871.40","$1,286,266.47"
Lopinavir-Ritonavir,3,"$685,329.33","$627,431.15","$378,532.73","$883,348.98","$1,370,987.36"
Fluocinonide-E,3,"$424,458.16","$488,772.39","$456,265.40","$401,908.65","$256,657.16"
Bupivacaine-Dextrose,3,"$3,376.39","$58,315.19","$412,671.32","$634,582.71","$958,672.94"
Estradiol (Twice Weekly),3,"$7,432,890.56","$8,031,907.77","$8,123,181.41","$9,322,274.08","$11,378,720.53"
Budesonide ER,3,"$2,247,270.86","$6,062,615.74","$7,325,726.82","$6,789,008.42","$6,208,358.44"
Estradiol Valerate,3,"$813,538.25","$1,826,806.30","$2,491,843.92","$2,987,821.63","$4,488,426.45"
Budesonide EC,3,"$5,847,807.59","$6,860,549.75","$7,843,813.07","$7,997,605.04","$7,065,058.00"
Paragard T 380-A,3,"$35,296,899.54","$35,648,818.35","$37,926,205.87","$43,792,165.53","$41,260,030.00"
Cyclopentolate HCl,3,"$435,422.42","$1,137,598.84","$1,328,685.29","$892,503.27","$1,062,377.72"
Alclometasone Dipropionate,3,"$1,952,905.47","$1,511,362.75","$1,084,195.16","$1,165,186.03","$1,048,889.61"
Flumazenil,3,"$34,034.36","$78,166.23","$56,127.01","$132,111.54","$31,602.24"
Balsalazide Disodium,3,"$2,063,083.34","$1,889,794.82","$1,964,832.90","$2,320,430.80","$2,034,137.53"
Isradipine,3,"$119,071.92","$102,718.06","$101,999.31","$128,118.56","$174,980.35"
Risedronate Sodium Dr,3,"$74,140.39","$115,915.86","$96,932.40","$78,868.53","$72,941.88"
Phenoxybenzamine HCl,3,"$2,022,089.66","$1,162,772.55","$1,444,772.63","$1,301,584.11","$1,127,314.10"
Aspirin EC,3,$524.80,$363.86,$86.10,$214.05,"$2,329.25"
Vitamin B Complex,3,"$24,695.12","$26,342.26","$35,137.92","$36,792.44","$30,373.14"
Amiloride HCl,3,"$308,429.25","$388,459.96","$417,076.37","$416,239.68","$432,614.68"
Dextrose 5%-1/2ns-KCl,3,"$13,793.22","$46,547.14","$28,301.12","$120,331.11","$109,880.91"
Sensorcaine,3,"$153,668.63","$395,773.77","$987,006.76","$1,940,728.76","$2,331,449.18"
Fexofenadine HCl,3,"$1,610.44","$1,328.96","$4,096.03","$150,236.88","$297,720.78"
Ferrlecit,3,"$6,008,153.20","$1,714,583.78","$3,008,720.51","$6,456,054.10","$12,208,911.81"
Pentoxifylline,3,"$995,744.89","$1,206,177.93","$1,188,863.29","$1,253,149.40","$1,162,835.33"
Ciprofloxacin-Dexamethasone,3,$0.00,$0.00,"$10,123,674.47","$33,882,122.25","$36,078,022.66"
Mercaptopurine,3,"$3,582,889.99","$3,155,475.83","$2,626,394.27","$2,449,171.61","$2,036,639.07"
Mesalamine Dr,3,$0.00,"$3,248,124.06","$6,426,600.70","$5,650,743.82","$5,007,657.14"
Omnipaque*,3,"$18,496,509.89","$35,627,082.93","$45,626,255.26","$52,864,188.66","$55,483,659.37"
PEG 3350-Electrolyte,3,"$1,885,932.81","$2,164,387.37","$1,796,721.73","$2,381,245.86","$3,375,807.91"
Marcaine-Epinephrine,3,"$170,582.70","$1,446,900.77","$1,623,939.26","$1,465,553.52","$1,893,788.67"
Penicillin G Potassium,3,"$620,849.68","$588,637.52","$477,502.74","$619,494.46","$459,420.31"
Vibramycin,3,"$514,162.37","$361,186.12","$324,345.33","$356,342.47","$75,308.61"
Azelastine-Fluticasone,3,$0.00,$0.00,"$1,307,200.47","$2,083,175.37","$2,524,754.48"
Ropinirole ER,3,"$261,646.45","$343,656.81","$494,358.79","$547,711.28","$501,667.16"
Aprepitant,3,"$2,722,714.37","$3,517,973.36","$5,077,120.34","$6,467,138.26","$6,792,910.95"
Bepotastine Besilate,3,$0.00,$0.00,$0.00,"$329,925.03","$827,120.90"
Temsirolimus,3,"$94,030.33","$385,602.17","$450,812.82","$465,415.44","$271,461.32"
Betamethasone Sod Phos-Acetate,3,"$6,258,111.27","$5,240,642.06","$4,783,400.17","$5,084,549.16","$5,398,649.09"
Lidocaine HCl In 5% Dextrose,3,"$538,042.79","$1,056,685.07","$1,770,607.92","$1,860,719.15","$2,489,400.64"
Ativan*,3,"$3,293,281.15","$3,452,298.57","$2,634,995.45","$3,059,556.77","$3,145,053.92"
Lamivudine Hbv,3,"$1,070,708.23","$904,919.06","$774,434.94","$704,896.12","$513,584.28"
Maxitrol,3,"$32,833.86","$27,867.47","$29,242.20","$28,739.23","$45,176.29"
Pfizerpen,3,"$574,253.97","$561,948.67","$551,819.50","$572,992.89","$480,617.67"
Aztreonam,3,"$792,583.10","$811,318.47","$840,114.01","$801,098.55","$598,630.59"
Oxytocin,3,"$193,912.63","$140,524.53","$157,863.75","$140,319.33","$159,980.76"
Methotrexate,3,"$1,093.58",$885.05,"$1,607.01","$1,439.67","$3,071.93"
Ritonavir,3,"$6,940,901.07","$5,911,701.98","$3,453,368.35","$2,731,346.79","$1,908,301.71"
Erythromycin-Benzoyl Peroxide,3,"$15,999,688.54","$10,351,950.26","$6,536,083.77","$5,396,081.22","$3,573,743.63"
Methenamine Mandelate,3,"$178,669.61","$194,252.96","$244,340.67","$252,738.36","$238,609.37"
Methazolamide,3,"$1,649,756.59","$1,778,043.47","$1,730,967.92","$1,685,790.19","$1,486,761.21"
Dicloxacillin Sodium,3,"$1,123,442.00","$1,151,507.72","$1,255,286.45","$1,213,165.19","$1,275,908.42"
Etodolac ER,3,"$313,580.46","$443,618.39","$403,875.91","$299,598.33","$288,356.65"
Daunorubicin HCl,3,"$68,219.13","$122,262.01","$168,108.55","$55,924.89","$30,373.98"
Levonorgestrel-Eth Estradiol,3,"$5,221,545.11","$4,662,204.10","$4,651,673.37","$5,134,794.50","$3,666,586.76"
Cisatracurium Besylate,3,"$3,400.32","$5,712.64","$5,301.36","$47,358.30","$9,796.78"
Theophylline ER,3,"$4,878,863.08","$4,418,647.28","$4,083,590.64","$3,766,403.47","$3,150,099.15"
Estradiol (Once Weekly),3,"$4,599,259.46","$4,767,276.67","$5,045,819.74","$5,670,257.37","$5,926,711.05"
Neomycin Sulfate,3,"$257,150.17","$263,201.90","$281,064.78","$278,949.33","$211,834.06"
Niacin,3,"$9,097.34","$7,607.73","$5,298.44","$3,333.82","$21,945.81"
Zosyn,3,"$3,902,162.69","$4,947,180.92","$4,093,906.76","$4,119,467.98","$3,034,022.24"
Cevimeline HCl,3,"$1,518,271.38","$1,434,384.32","$1,465,568.43","$1,576,651.48","$1,597,463.69"
Tribenzor,3,"$476,434.86","$157,858.01","$174,583.32","$170,745.69","$131,049.35"
Colestipol HCl,3,"$4,070,353.67","$4,655,250.78","$5,148,046.28","$6,117,200.06","$6,224,854.81"
Triazolam,3,"$1,453,937.87","$1,230,841.44","$1,073,137.43","$962,995.62","$836,556.54"
Acyclovir Sodium,3,"$319,453.17","$283,840.47","$281,096.22","$324,275.87","$274,951.57"
Proparacaine HCl,3,"$148,690.14","$591,910.99","$728,747.47","$520,312.32","$374,220.26"
Protamine Sulfate,3,"$840,429.61","$1,929,740.17","$3,189,558.85","$3,185,562.23","$3,393,008.90"
Geodon,3,"$5,356,327.84","$4,793,094.31","$4,020,917.26","$3,443,258.89","$2,875,087.54"
Heparin Sodium-D5W,3,"$598,932.61","$887,856.92","$1,083,976.14","$1,477,849.15","$1,204,343.31"
Infuvite Adult,3,"$1,666,042.03","$2,075,146.99","$2,459,311.58","$2,462,249.38","$3,096,329.09"
Candesartan-Hydrochlorothiazid,3,"$266,454.79","$530,360.00","$527,384.41","$459,037.40","$399,537.70"
Galantamine ER,3,"$93,873.42","$91,440.18","$81,613.55","$81,156.47","$92,839.61"
Neomycin-Bacitracin-Polymyxin,3,"$74,770.12","$92,830.06","$104,935.02","$110,180.57","$143,036.42"
Sodium Sulfacetamide,3,"$92,724.57","$156,564.54","$247,686.17","$448,299.52","$266,146.03"
Effient,3,"$4,651,022.17","$1,188,501.07","$755,913.77","$617,992.58","$279,174.19"
Sodium Phosphate,3,"$1,809,800.95","$1,596,126.08","$2,588,615.29","$2,951,647.77","$4,373,070.39"
Naftifine HCl,3,"$797,383.26","$627,547.53","$715,229.28","$1,068,958.34","$669,008.39"
Cetaphil,3,"$1,442.98","$1,497.44","$3,099.76","$5,913.99","$5,759.38"
Heparin Sodium In 0.45% NaCl,3,"$145,567.52","$290,315.48","$553,584.55","$1,024,507.74","$812,186.37"
Trimipramine Maleate,3,"$27,588.65","$52,206.33","$77,094.76","$77,045.24","$57,659.71"
Glucagon HCl,3,"$387,889.20","$474,878.15","$544,891.16","$645,253.84","$509,131.36"
Glucagon Emergency Kit,3,"$60,847,144.95","$61,097,421.59","$50,165,245.54","$39,025,833.05","$29,795,474.48"
Glipizide-Metformin,3,"$1,183,430.67","$1,341,099.94","$1,014,039.33","$1,092,659.23","$1,289,231.16"
Naropin,3,"$4,387,429.01","$10,693,112.65","$13,831,266.63","$13,698,360.57","$11,331,448.19"
Nevirapine ER,3,"$899,144.68","$711,163.74","$476,943.67","$467,428.94","$392,781.96"
Hydroquinone,3,"$159,308.32","$166,206.96","$111,808.93","$118,171.95","$146,695.16"
Clonidine,3,"$7,287,957.64","$6,202,692.15","$6,227,055.33","$7,140,797.90","$7,371,028.31"
Cefuroxime Sodium*,3,"$57,171.96","$205,734.63","$564,646.73","$369,909.36","$365,118.23"
Hyoscyamine Sulfate ER,3,"$89,446.31","$77,266.07","$87,551.31","$95,831.32","$278,419.65"
Ibuprofen-Famotidine,3,$0.00,$0.00,$0.00,"$547,882.21","$1,439,329.41"
Probenecid-Colchicine,3,"$298,281.57","$281,153.25","$319,660.25","$333,748.13","$261,820.25"
Probenecid,3,"$283,702.69","$358,151.59","$343,488.32","$435,308.46","$454,654.08"
Naproxen-Esomeprazole Mag,3,$0.00,$0.00,"$2,023,288.15","$6,857,525.02","$12,142,334.73"
Trimethoprim,3,"$160,578.29","$184,638.93","$185,919.55","$189,015.31","$314,784.75"
Hydrocodone-Chlorpheniramne ER,3,"$685,708.44","$548,558.58","$348,835.21","$262,596.62","$291,906.70"
Clozapine ODT,3,"$16,738,304.43","$15,005,116.26","$14,145,851.44","$12,995,603.25","$12,091,723.10"
Trueplus Insulin Syringe,3,"$343,636.82","$353,688.16","$447,771.86","$238,132.22","$2,151.32"
Trifluoperazine HCl,3,"$1,318,124.36","$418,728.31","$502,231.07","$624,883.44","$617,386.51"
Protonix IV,3,"$4,133,984.71","$4,689,843.96","$6,055,858.83","$6,438,812.04","$4,865,776.76"
Multivitamins,3,"$190,526.92","$259,435.53","$140,359.90","$42,699.98","$17,708.56"
Cleocin Phosphate*,3,"$375,354.71","$545,265.89","$577,722.89","$495,303.47","$373,512.09"
Pyrimethamine,3,$0.00,$0.00,"$5,964,667.75","$8,450,696.05","$6,202,934.71"
Calcium 600 + Vit D,3,$103.85,$88.00,$0.00,$223.95,$232.88
Potassium Phosphate,3,"$2,631,446.82","$3,495,438.95","$3,044,976.97","$3,236,936.97","$5,682,143.12"
Norethindron-Ethinyl Estradiol,3,"$2,699,310.65","$3,394,719.31","$3,801,152.55","$4,893,212.97","$3,989,919.60"
Potassium Citrate-Citric Acid,3,"$509,103.86","$599,437.37","$717,772.32","$691,349.07","$643,509.81"
Fomepizole,3,"$29,114.41","$40,862.01","$99,830.40","$90,711.92","$79,425.77"
Calcipotriene-Betamethasone Dp,3,"$1,031,381.19","$954,145.09","$1,414,205.33","$2,914,070.17","$1,463,631.12"
Sodium Citrate-Citric Acid,3,"$743,680.08","$859,714.42","$949,653.36","$993,746.06","$925,832.48"
Norethindrone,3,"$7,022,359.42","$7,214,984.45","$7,983,622.27","$9,133,175.50","$8,987,731.55"
Disopyramide Phosphate,3,"$296,370.05","$279,075.08","$280,268.35","$360,202.15","$373,811.30"
Trelstar,3,"$1,764,441.23","$1,560,259.43","$1,504,802.23","$2,069,759.18","$1,505,957.43"
Fluticasone-Salmeterol,3,"$22,009,797.90","$89,396,860.16","$129,451,764.59","$111,158,287.73","$77,466,997.52"
Quelicin,3,"$10,998,725.17","$13,756,719.79","$13,306,668.68","$12,295,585.37","$6,040,854.15"
Norgestimate-Ethinyl Estradiol,3,"$4,301,352.67","$6,152,735.21","$4,010,407.82","$4,007,620.26","$5,186,470.34"
Thioridazine HCl,3,"$868,370.52","$536,460.95","$405,549.15","$396,587.83","$345,413.33"
Goodnites,3,"$8,686.84","$323,383.53","$196,242.49","$190,833.21","$75,811.27"
Diprivan,3,"$45,593,009.70","$86,091,660.97","$103,725,722.71","$112,434,101.89","$90,025,554.79"
Potassium Acetate,3,"$2,375,476.77","$2,301,665.77","$2,540,179.00","$2,362,184.41","$3,491,007.31"
Granisetron HCl,3,"$508,657.74","$1,052,509.28","$1,551,070.50","$1,285,562.35","$1,268,681.56"
Enalapril-Hydrochlorothiazide,3,"$400,249.33","$496,046.45","$450,226.48","$470,290.78","$441,349.51"
Clarithromycin ER,3,"$280,502.27","$507,274.96","$160,637.75","$172,212.36","$148,205.21"
Docusate Sodium,3,"$5,087.83","$5,684.90","$9,128.96","$2,384.52","$1,517.29"
Protriptyline HCl,3,"$286,017.19","$367,784.28","$595,043.53","$551,316.07","$608,619.10"
Fosinopril Sodium,3,"$137,059.80","$181,368.68","$174,531.03","$166,006.43","$147,435.04"
Coreg Cr,3,"$593,597.58","$321,503.14","$246,735.50","$227,896.19","$290,471.81"
Glycerin*,3,"$3,408.10","$5,031.21","$15,693.82","$18,744.23","$17,257.28"
Heparin Lock,3,"$124,704.76","$21,952.58","$14,116.12","$6,745.90","$15,939.26"
Adrenalin,3,"$1,242,824.34","$2,120,916.53","$2,319,932.09","$3,951,419.18","$5,397,795.08"
Calcium Gluconate,3,"$5,274,360.31","$4,882,657.88","$5,663,843.65","$5,958,454.66","$8,927,510.12"
Econazole Nitrate,3,"$7,253,939.88","$3,068,525.44","$1,240,804.70","$1,023,866.13","$999,301.35"
Pyrazinamide,3,"$300,559.90","$235,771.04","$333,011.72","$595,736.39","$595,991.42"
Neomycin-Polymyxin-HC*,3,"$16,794,068.44","$16,454,259.43","$14,796,847.59","$15,543,433.06","$16,790,690.43"
Neomycin-Polymyxin B,2,"$121,835.55","$276,790.73","$247,368.83","$281,598.59","$198,750.55"
Opium Tincture,2,"$786,822.16","$775,971.14","$756,186.26","$736,684.06","$647,333.45"
Ear Drops,2,"$8,834.44","$4,775.02","$2,576.36","$2,418.65","$2,548.97"
Dysport,2,"$6,043,004.58","$8,082,364.74","$7,654,624.28","$8,913,919.21","$9,140,960.85"
Neomycin-Bacitracin-Poly-HC,2,"$76,420.65","$128,777.13","$139,140.70","$80,222.83","$104,231.20"
Maxalt Mlt,2,"$284,753.91","$207,936.11","$220,037.56","$151,214.61","$142,484.84"
Effexor XR,2,"$4,820,515.63","$4,786,248.16","$4,647,367.61","$4,752,526.60","$4,728,863.41"
Magnesium,2,"$1,810.13","$1,730.06",$908.05,$440.18,$402.80
Maxalt,2,"$166,876.38","$134,717.82","$123,713.22","$100,584.86","$81,972.10"
Lucemyra,2,"$717,636.29","$3,788,084.50","$4,712,334.97","$6,053,066.22","$13,215,871.71"
Marcaine,2,"$549,280.38","$1,595,279.15","$809,672.23","$1,445,515.91","$2,410,519.43"
Neomycin-Polymyxin-Hydrocort,2,"$17,270,853.22","$16,193,888.97","$14,221,187.34","$15,389,804.37","$15,727,896.71"
Esmolol HCl-Sodium Chloride,2,$0.00,"$6,853.52","$3,210.69","$12,703.81","$9,851.25"
Senna Plus,2,$65.91,$0.00,$337.02,$0.00,"$1,094.30"
Neurontin,2,"$3,388,402.23","$3,200,173.14","$3,088,378.89","$3,168,286.23","$4,341,937.76"
Omniscan,2,"$99,583.64","$74,498.29","$69,086.86","$43,040.42","$45,946.55"
Orencia,2,"$88,093,896.35","$92,393,079.47","$101,995,661.32","$113,509,781.25","$108,269,138.94"
Ontruzant,2,$0.00,$0.00,"$75,266.17","$1,835,826.81","$5,165,783.78"
Easivent,2,"$2,411.63","$1,908.97","$4,404.30","$10,699.35","$8,059.59"
Maxidex,2,"$106,126.35","$125,881.38","$167,319.68","$205,430.48","$254,279.59"
Mircera,2,"$57,982,806.19","$122,022,260.65","$145,967,121.23","$157,155,276.31","$134,410,874.86"
Olanzapine-Fluoxetine HCl,2,"$2,315,473.04","$1,857,116.81","$1,862,049.58","$1,913,955.64","$1,805,092.69"
Methylphenidate HCl ER (Cd),2,"$16,250,604.23","$21,130,191.16","$14,941,449.11","$12,449,999.15","$14,354,169.39"
Nuvaring,2,"$118,218,535.52","$120,704,470.92","$22,233,809.42","$19,609,630.58","$20,346,014.49"
Sodium Phenylbutyrate,2,"$4,235,988.17","$4,477,612.60","$4,155,777.58","$4,347,199.97","$3,750,379.61"
Metoprolol-Hydrochlorothiazide,2,"$452,782.83","$460,012.93","$404,339.49","$399,928.80","$368,372.37"
Metyrosine,2,$0.00,$0.00,$0.00,"$1,005,858.71","$2,981,231.49"
Miglitol,2,"$95,485.93","$69,651.79","$60,654.32","$66,697.88","$73,256.86"
Nitrolingual,2,"$30,727.21","$26,420.43","$14,590.18","$7,800.01","$14,284.12"
