Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Arformoterol Tartrate,Arformoterol Tartrate,1,"Cipla USA, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905350.45,205250.0,1764.0,4.4109644336,513.23721655,0.0,2156384.77,670776.0,5597,3.2147613659,385.27510631,0,-0.271188554,-0.271188554
Arformoterol Tartrate,Arformoterol Tartrate,1,Glenmark Pharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127054.4,20341.0,173.0,6.2462219163,734.41849711,0.0,22198.8,5161.0,45,4.3012594458,493.30666667,1,-0.311382224,-0.311382224
Arformoterol Tartrate,Arformoterol Tartrate,1,Teva USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613677.93,209215.0,1713,2.9332405898,358.24747811,0,0.0,0.0
Arformoterol Tartrate,Arformoterol Tartrate,1,Lupin Pharmaceu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3727078.93,781970.0,7079.0,4.7662684374,526.4979418,0.0,5233703.06,1542394.0,14954,3.3932335447,349.98683028,0,-0.288073345,-0.288073345
Arformoterol Tartrate,Arformoterol Tartrate,1,Slate Run Pharm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120657.28,53905.0,256.0,2.2383318802,471.3175,0.0,457142.84,150476.999,1393,3.0379582464,328.17145729,0,0.3572420932,0.3572420932
Arformoterol Tartrate,Arformoterol Tartrate,1,Sun Pharmaceuti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25228.55,8763.0,86,2.8789855072,293.35523256,1,0.0,0.0
Argatroban,Argatroban,1,Par Pharm.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12594.63,1511.205,12,8.3341637964,1049.5525,1,0.0,0.0
Arginine,Arginine,1,Major Pharmaceu,0.0,0.0,0.0,0.0,0.0,0.0,445.87,7860.0,18.0,0.0567264631,24.770555556,1.0,1202.68,15840.0,31.0,0.0759267677,38.796129032,1.0,982.88,12680.0,20.0,0.0775141956,49.144,1.0,739.37,9150.0,15,0.0808054645,49.291333333,1,0.0424602084,0.1251705114
Aricept,Donepezil HCl,1,Eisai Inc.,161079.81,10022.0,358.0,16.231309254,449.94360335,0.0,140356.68,15540.0,332.0,10.966220664,422.76108434,1.0,119890.42,6062.0,244.0,21.093149698,491.35418033,1.0,82521.91,4744.0,161.0,17.781970772,512.5584472,1.0,48768.28,3604.0,102,13.463412822,478.12039216,1,-0.242861604,-0.045665987
Arikayce,Amikacin Liposomal/Neb.Accessr,1,Insmed Incorpor,303492.44,30.0,30.0,10116.414667,10116.414667,1.0,9172512.17,1572.608,870.0,5832.675511,10543.117437,1.0,12323468.18,1431.198,1076.0,8610.5962837,11453.037342,1.0,12838217.63,1532.401,1057.0,8377.8447221,12145.901258,1.0,13406059.27,1554.204,1035,8625.675439,12952.714271,1,0.0295816794,-0.039070287
Arimidex,Anastrozole,1,Ani Pharmaceuti,83726.04,2388.0,66.0,35.061155779,1268.5763636,1.0,310815.29,7765.0,213.0,40.027725692,1459.2267136,0.0,328982.49,8790.0,224.0,37.426904437,1468.6718304,1.0,273724.12,6300.0,170.0,43.448273016,1610.1418824,1.0,183976.17,4441.0,122,41.426743977,1508.0013934,1,-0.046527259,0.0425902111
Aripiprazole,Aripiprazole,1,Apotex Corp,5679284.17,1762759.06,26764.0,3.1634678694,212.19863137,0.0,4526394.85,1911209.55,21775.0,2.0606515228,207.87117566,0.0,1741891.56,1237758.5,23174.0,0.8960936878,75.16577026,0.0,2034953.82,1611932.23,26000.0,0.8612015787,78.267454615,0.0,2746457.27,1998767.84,19106,1.0460137508,143.74841777,0,0.2145980414,-0.241695747
Aripiprazole,Aripiprazole,1,Amneal Pharmace,30458704.55,14965388.61,466069.0,1.9131686869,65.352350296,0.0,20676124.54,14856326.734,469798.0,1.2647949841,44.010669564,0.0,14466577.08,15490584.819,485004.0,0.8247374892,29.827747977,0.0,12456830.8,15202589.53,470403.0,0.727767931,26.481189108,0.0,11314748.52,15661233.117,474938,0.626673416,23.823632811,0,-0.138910373,-0.243477234
Aripiprazole,Aripiprazole,1,Ajanta Pharma L,19618050.33,9755559.1,327280.0,2.0164000409,59.942710615,0.0,7308788.94,5483615.0,182880.0,1.3370606455,39.964943898,0.0,4340218.86,7214453.365,228431.0,0.6056231775,19.000130718,0.0,4289118.6,7715314.0,237695.0,0.5619408404,18.044631145,0.0,3413061.2,6783507.5,205055,0.5081835003,16.644613396,0,-0.0956637,-0.291465559
Aripiprazole,Aripiprazole,1,Major Pharmaceu,53250.61,45120.5,1550.0,1.3313649177,34.355232258,0.0,123488.74,43864.15,1573.0,3.9031665615,78.505238398,1.0,426159.46,121331.0,4165.0,5.1601889599,102.31919808,1.0,561699.91,92403.75,3509.0,7.9259021846,160.07406954,1.0,488738.59,51271.0,2238,11.134269851,218.38185433,1,0.4047952639,0.7005568633
Aripiprazole,Aripiprazole,1,Aurobindo Pharm,3780603.54,1812599.58,62642.0,2.0946867837,60.352535679,0.0,19052409.16,14627482.8,471375.0,1.2881029275,40.418794293,0.0,7223530.31,9455563.25,300896.0,0.7497007264,24.006734254,0.0,611026.22,897133.75,29267.0,0.6827658535,20.87765128,0.0,454960.26,703926.984,22581,0.6458622401,20.147923475,0,-0.054050174,-0.254830277
Aripiprazole,Aripiprazole,1,Torrent Pharmac,32820494.54,18640529.158,626611.0,1.7662479933,52.377782292,0.0,26900984.51,23867620.702,794449.0,1.1300091096,33.861184934,0.0,18768582.81,26981781.596,870533.0,0.6986608655,21.559875168,0.0,16336754.54,25838959.0,817417.0,0.6367326256,19.985826744,0.0,14049799.42,24570982.5,765684,0.5752107074,18.349344403,0,-0.096621275,-0.244570709
Aripiprazole,Aripiprazole,1,Ahp,10165.36,3846.5,265.0,6.0646672289,38.359849057,1.0,166063.53,5394.0,449.0,50.372404568,369.85195991,1.0,398465.28,7321.5,458.0,114.00460581,870.01152838,1.0,147682.26,5140.0,386.0,50.851957938,382.5965285,1.0,239238.17,4669.5,477,57.686720728,501.54752621,1,0.1344051059,0.7561726889
Aripiprazole,Aripiprazole,1,Accord Healthca,12189148.12,6297701.5,212744.0,1.9408947207,57.294908999,0.0,15846720.33,9350990.0,314788.0,1.6975203163,50.340928911,0.0,12475358.7,11762194.5,378885.0,1.0629714725,32.926504612,0.0,11871992.18,14576545.083,457975.0,0.819132964,25.922795305,0.0,11032272.82,14975641.25,466619,0.74211893,23.642999578,0,-0.094018966,-0.213646394
Aripiprazole,Aripiprazole,1,Avpak,1325.26,368.5,110.0,3.8074589879,12.047818182,1.0,8153.24,532.0,163.0,12.567176339,50.019877301,1.0,8987.04,368.5,120.0,20.982446485,74.892,1.0,38435.13,481.5,126.0,178.49097915,305.04071429,1.0,68980.02,1124.0,188,114.34228972,366.915,1,-0.359394574,1.340954177
Aripiprazole,Aripiprazole,1,Alembic Pharmac,6376322.9,3633753.015,122791.0,1.7597283258,51.9282594,0.0,5276825.22,4527581.5,152563.0,1.1683082665,34.587843842,0.0,3595610.7,5141209.55,171985.0,0.7027330205,20.906536617,0.0,3966566.59,6750640.4,223730.0,0.5909779376,17.729256649,0.0,4038827.42,7651216.151,251107,0.5315060697,16.084089332,0,-0.100632975,-0.258663043
Aripiprazole,Aripiprazole,1,Macleods Pharma,4449273.95,2139193.5,73954.0,2.0916564042,60.162722098,0.0,2462169.86,1713643.5,59275.0,1.4426361683,41.538082834,0.0,428887.0,639860.5,21280.0,0.6741093135,20.154464286,0.0,177032.42,322553.5,10519.0,0.5519601115,16.829776595,0.0,38992.81,77345.0,2579,0.5080039955,15.119352462,0,-0.0796364,-0.29798855
Aripiprazole,Aripiprazole,1,Teva USA,14493709.46,6596146.666,222367.0,2.2043432985,65.179228303,0.0,1269145.67,736741.0,25008.0,1.7219665091,50.749586932,0.0,100926.28,70482.0,2434.0,1.4308473222,41.465193098,0.0,5423.61,11100.0,377.0,0.4870484906,14.386233422,1.0,1017.4,2043.0,66,0.4997622722,15.415151515,1,0.0261037286,-0.309965096
Aripiprazole,Aripiprazole,1,Vistapharm/Pai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205774.12,141120.5,564.0,1.458144777,364.8477305,0.0,1185119.52,955168.0,4385.0,1.2407445811,270.26670924,0.0,1918651.51,1650844.0,7853,1.1622246015,244.32083408,0,-0.063284564,-0.107219473
Aripiprazole,Aripiprazole,1,Trigen Laborato,1387893.33,649460.0,22865.0,2.1415931557,60.699467745,0.0,454520.31,143475.0,4973.0,3.1731369852,91.397609089,0.0,11675.03,24658.0,849.0,0.4729917411,13.751507656,1.0,4425.64,9407.0,329.0,0.4707177073,13.451793313,1.0,5471.52,1320.0,44,4.1450909091,124.35272727,1,7.8058954335,0.1795036045
Aripiprazole,Aripiprazole,1,Silarx/Lannett,4915083.39,1533700.0,8153.0,3.2047228206,602.85580645,0.0,5052908.2,1964166.1,9565.0,2.5725462831,528.2705907,0.0,7596032.92,3634832.5,17724.0,2.0897889848,428.57328594,0.0,4778237.73,2805482.0,14930.0,1.703178894,320.04271467,0.0,1967030.66,1397875.25,7455,1.4071575128,263.85387793,0,-0.173805219,-0.185974405
Aripiprazole,Aripiprazole,1,Camber Pharmace,29765012.32,14163661.134,467954.0,2.1086903806,63.606705616,0.0,7270127.17,7282808.5,231068.0,1.0008228586,31.463150112,0.0,7436977.01,11376852.0,351043.0,0.6561518407,21.18537333,0.0,5561462.77,9821412.399,309445.0,0.5687686632,17.97237884,0.0,4909454.13,9159576.8,285168,0.5385730098,17.216006459,0,-0.053089517,-0.289100937
Aripiprazole,Aripiprazole,1,Solco Healthcar,2221907.6,1640888.05,53351.0,1.3601753705,41.646971941,0.0,7102419.4,5401713.0,175879.0,1.3197963675,40.382418595,0.0,7327822.68,6807469.5,209735.0,1.0808199241,34.938482752,0.0,6595419.71,7935500.0,235548.0,0.8361472178,28.000321421,0.0,5969297.0,8167292.0,238624,0.7350938123,25.015492993,0,-0.120855997,-0.142593118
Aripiprazole,Aripiprazole,1,Sky Pharmaceuti,0.0,0.0,0.0,0.0,0.0,0.0,3152.05,394.0,16.0,8.0001269036,197.003125,1.0,1757.83,294.0,20.0,5.9790136054,87.8915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,382.11,46.0,17,21.749784314,22.477058824,1,0.0,0.3956805496
Aripiprazole,Aripiprazole,1,Dr.Reddy'S Lab,20469941.75,6064469.832,207136.0,3.3782527553,98.823679853,0.0,13358088.37,7589402.2,254836.0,1.7605237311,52.418372483,0.0,10936885.11,9754150.44,312969.0,1.1245149022,34.945586017,0.0,10524195.48,10274700.685,323600.0,1.0290977977,32.522235723,0.0,7098996.65,11452476.0,350980,0.623578532,20.226214172,0,-0.394053186,-0.344534627
Aripiprazole,Aripiprazole,1,Exelan Pharmace,2984887.33,1122686.5,40114.0,2.6721775293,74.410114424,0.0,15459.2,10286.0,353.0,1.5236148067,43.793767705,0.0,2001.01,4022.0,138.0,0.4968156705,14.500072464,1.0,446.6,1339.0,46.0,0.3882492754,9.7086956522,1.0,587.72,1200.0,40,0.4897666667,14.693,1,0.2614747734,-0.345693885
Aripiprazole,Aripiprazole,1,Ascend Laborato,0.0,0.0,0.0,0.0,0.0,0.0,6876.28,8787.0,302.0,0.7909562297,22.769139073,1.0,7806547.33,11350916.5,353894.0,0.6923848994,22.058998825,0.0,17742033.88,30189409.9,933920.0,0.5925119858,18.997380803,0.0,20206876.67,37411683.351,1163463,0.5442071408,17.36787218,0,-0.081525515,-0.117183188
Aripiprazole,Aripiprazole,1,Northstar Rx Ll,2734735.66,1621027.0,53886.0,1.6927363463,50.750392681,0.0,9033008.81,8119499.501,272064.0,1.1165514968,33.20177903,0.0,5866159.39,9166185.001,297430.0,0.6432615779,19.722823488,0.0,5170786.24,8851026.396,282048.0,0.5878021845,18.333000908,0.0,4379283.08,8373703.682,263692,0.526088983,16.607568982,0,-0.104989745,-0.253349308
Aripiprazole ODT,Aripiprazole,1,Viona Pharmaceu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20583.35,1259.0,31,16.221708702,663.97903226,1,0.0,0.0
Aripiprazole ODT,Aripiprazole,1,Bionpharma Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84293.93,4852.0,141,17.461322102,597.82929078,1,0.0,0.0
Aripiprazole ODT,Aripiprazole,1,Dr.Reddy'S Lab,199914.09,7509.0,224.0,26.63122077,892.47361607,0.0,1213849.03,47946.0,1363.0,25.32303807,890.57155539,0.0,1322257.0,53629.0,1511.0,24.658412118,875.08735936,0.0,2364821.13,96370.0,2718.0,24.525347182,870.05928256,0.0,3449901.3,143650.0,3854,24.010028087,895.1482356,0,-0.021011694,-0.025570556
Aripiprazole ODT,Aripiprazole,1,Alembic Pharmac,2974139.36,102349.0,2902.0,29.009833208,1024.8584976,0.0,4196830.23,136915.0,3876.0,30.638145125,1082.7735372,0.0,5805056.25,187921.0,5124.0,30.887136757,1132.914959,0.0,5980918.38,189678.0,4806.0,31.531955715,1244.4690762,0.0,5039793.19,160027.0,4344,31.481305125,1160.1733863,0,-0.001606326,0.0206500806
Aristada,Aripiprazole Lauroxil,1,Alkermes Inc,105334954.11,147910.718,51658.0,711.66906951,2039.083087,0.0,160154809.33,205529.103,70202.0,780.0757354,2281.3425448,0.0,214557667.83,267470.936,87913.0,797.60088067,2440.5681507,0.0,255503030.35,305534.801,100796.0,837.64426976,2534.8528746,0.0,280261390.25,328267.392,107818,854.51538651,2599.3933318,0,0.0201411474,0.0467921304
Aristada Initio,"Aripiprazole Lauroxil,Submicr.",1,Alkermes Inc,530818.04,708.0,296.0,749.74299435,1793.3041892,0.0,2997462.21,3700.008,1557.0,810.12317,1925.1523507,0.0,4047965.97,4809.679,2010.0,841.62913367,2013.9134179,0.0,5198663.04,6620.392,2485.0,785.25003353,2092.0173199,1.0,6000088.06,6661.923,2802,900.6540694,2141.3590507,0,0.1469647003,0.0469149457
Aristospan,Triamcinolone Hexacetonide,1,Sandoz,195702.13,892.5,2828.0,255.13281029,69.201601839,1.0,39708.42,341.25,2376.0,148.24100932,16.71229798,1.0,9886.3,693.0,2749.0,18.176598613,3.5963259367,1.0,8908.21,794.25,2707.0,12.507085427,3.2908053195,1.0,24996.65,775.0,2495,33.710391036,10.018697395,1,1.6953034929,-0.397094328
Arixtra,Fondaparinux Sodium,1,Mylan Instituti,335417.23,2053.5,190.0,167.26857687,1765.3538421,1.0,206315.63,959.32,105.0,400.22605465,1964.9107619,1.0,75923.54,582.8,55.0,95.052352906,1380.428,1.0,49343.38,376.44,17.0,182.8510128,2902.5517647,1.0,4297.53,47.6,13,41.89800453,330.57923077,1,-0.770862606,-0.29255164
Armodafinil,Armodafinil,1,Aurobindo Pharm,95045.87,24172.0,740.0,3.9693258817,128.44036486,1.0,1184133.14,330304.5,10407.0,3.6267404115,113.78237148,0.0,1226093.71,474718.0,14885.0,2.6138711315,82.371092375,0.0,1477614.35,598518.0,18739.0,2.4932073265,78.852358717,0.0,1816523.28,824099.0,25724,2.2433354677,70.615894884,0,-0.100221051,-0.132949553
Armodafinil,Armodafinil,1,Mylan,932676.84,317890.5,9904.0,2.9694416093,94.171732633,0.0,658097.02,237141.0,7379.0,2.8161621755,89.185122645,0.0,464607.57,222274.0,6811.0,2.1330113408,68.214295992,0.0,566539.02,278031.0,8550.0,2.0850295726,66.261873684,0.0,570543.09,306018.0,9223,1.9109058654,61.860901008,0,-0.083511385,-0.104344234
Armodafinil,Armodafinil,1,Sandoz,1341449.37,388357.0,12285.0,3.4950319221,109.19408791,1.0,617916.84,241534.0,7574.0,2.5830196404,81.583950356,0.0,427325.73,198952.0,6251.0,2.1774476129,68.361179011,0.0,443154.26,248828.5,7867.0,1.8010565846,56.330781747,0.0,338210.41,204568.0,6547,1.6862372715,51.658837636,0,-0.063751086,-0.166574308
Armodafinil,Armodafinil,1,Lupin Pharmaceu,189253.48,53459.0,1676.0,3.5550035159,112.91973747,1.0,126620.37,37279.0,1205.0,3.4215112751,105.07914523,0.0,40252.26,17739.0,555.0,2.2685140562,72.526594595,0.0,4815.17,2741.0,81.0,1.8033156406,59.44654321,1.0,824.54,370.0,13,2.2075323077,63.426153846,1,0.2241519221,-0.112298899
Armodafinil,Armodafinil,1,Teva USA,816584.79,275367.0,8660.0,2.9824442396,94.293855658,0.0,769195.61,275557.0,8677.0,2.8330516459,88.647644347,0.0,690401.97,312778.0,9954.0,2.2348580326,69.359249548,0.0,639438.77,284755.0,8940.0,2.2848299147,71.525589485,0.0,258311.22,119568.5,3901,2.1739073139,66.216667521,0,-0.048547421,-0.076010209
Armonair Digihaler,Fluticasone Propionate,1,Teva Specialty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17240.03,67.5,68.0,254.11064618,253.52985294,1.0,51731.11,186.0,198,277.87518355,261.26823232,0,0.0935204318,0.0935204318
Armour Thyroid,"Thyroid,Pork",1,Forest/Allergan,6565176.33,7367662.5,189831.0,0.9159697253,34.584321475,0.0,7035740.14,6965643.5,176451.0,1.0364885644,39.873620098,0.0,7764886.78,7403532.811,175898.0,1.074223067,44.144258491,0.0,9534058.93,8732312.224,199511.0,1.1141105537,47.787134193,0.0,10204168.41,8721313.331,197618,1.1937573901,51.635824722,0,0.0714891679,0.068461157
Arnuity Ellipta,Fluticasone Furoate,1,Glaxosmithkline,39172427.61,6453734.7,213264.0,6.0685236387,183.68045057,0.0,41918089.75,6391831.863,209345.0,6.5569362405,200.23449211,0.0,37462351.45,5678995.4,182411.0,6.5964479214,205.37331329,0.0,33299652.44,4984522.9,158343.0,6.6810724985,210.30075494,0.0,30100303.21,4323196.6,133874,6.9629954754,224.84054566,0,0.0421972635,0.0349712032
Aromasin,Exemestane,1,Pharmaci/Pfizer,153637.7,4989.0,148.0,30.795289637,1038.0925676,0.0,152741.0,4469.0,133.0,34.177892146,1148.4285714,1.0,118456.53,3560.0,97.0,33.27430618,1221.2013402,1.0,112298.35,3362.0,88.0,33.402245687,1276.1176136,1.0,112603.21,3182.0,86,35.38755814,1309.3396512,1,0.0594364963,0.0353604606
Arranon,Nelarabine,1,Novartis,996746.76,56341.8,381.0,17.691070573,2616.1332283,1.0,2719329.41,109161.0,717.0,24.911180825,3792.6491074,1.0,3766480.3,174945.0,1017.0,21.529510989,3703.5204523,1.0,2815252.41,166412.0,916.0,16.917364192,3073.4196616,1.0,1060167.8,69727.8,417,15.204377594,2542.3688249,0,-0.101256116,-0.037161089
Arsenic Trioxide,Arsenic Trioxide,1,Amring Pharmace,0.0,0.0,0.0,0.0,0.0,0.0,141205.56,2259.0,162.0,62.507994688,871.63925926,1.0,108475.33,2158.0,33.0,50.266603336,3287.1312121,1.0,110756.98,787.0,98.0,140.7331385,1130.1732653,1.0,15255.21,512.0,57,29.795332031,267.63526316,1,-0.788284889,-0.218844393
Arsenic Trioxide,Arsenic Trioxide,1,Fresenius Kabi,198676.9,1717.0,90.0,115.71164822,2207.5211111,1.0,1472296.75,24306.0,1998.0,60.573387229,736.88526026,1.0,945292.18,19505.0,1778.0,48.46409536,531.6603937,0.0,889275.55,29503.0,2161.0,30.141868624,411.51112911,0.0,813613.22,31515.5,2422,25.816287858,335.92618497,1,-0.143507386,-0.312727164
Arsenic Trioxide,Arsenic Trioxide,1,Zydus Pharmaceu,0.0,0.0,0.0,0.0,0.0,0.0,182018.46,2108.0,178.0,88.415701595,1022.575618,1.0,360050.35,6557.0,598.0,58.082468773,602.09088629,1.0,386179.05,10851.0,877.0,39.63543214,440.34099202,1.0,392857.5,11329.5,1103,37.958848483,356.17180417,1,-0.042300123,-0.245612395
Arsenic Trioxide,Arsenic Trioxide,1,Nexus Pharmaceu,0.0,0.0,0.0,0.0,0.0,0.0,3402211.09,18251.0,1475.0,186.41231111,2306.5837898,1.0,2895613.78,17521.0,1455.0,165.26532618,1990.1125636,1.0,384588.45,11976.2,1024.0,32.112727743,375.5746582,1.0,186143.87,5943.5,498,31.318897956,373.78287149,1,-0.024720098,-0.448205594
Arsenic Trioxide,Arsenic Trioxide,1,Amneal Pharmace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141643.63,4415.0,463,31.796963059,305.92576674,1,0.0,0.0
Arsenic Trioxide,Arsenic Trioxide,1,"STI Pharma, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4678.32,240.0,12.0,19.493,389.86,1.0,17361.4,884.0,50.0,19.63959276,347.228,1.0,9560.87,565.0,37,16.921893805,258.40189189,1,-0.13837858,-0.068280594
Arsenic Trioxide,Arsenic Trioxide,1,Ingenus Pharmac,0.0,0.0,0.0,0.0,0.0,0.0,333059.27,5493.0,332.0,60.633400692,1003.1905723,1.0,486704.35,13225.0,882.0,36.80184121,551.81899093,0.0,245495.74,9540.0,704.0,25.73330608,348.71553977,1.0,70708.33,4578.0,376,15.445244648,188.05406915,1,-0.399795557,-0.366089973
Arthritis Pain Relief,Acetaminophen,1,Amerisource-Gnp,0.0,0.0,0.0,0.0,0.0,0.0,195.72,2546.0,36.0,0.0768735271,5.4366666667,1.0,5106.46,52726.0,745.0,0.0968489929,6.8543087248,0.0,1602.99,16115.0,230.0,0.0994719206,6.9695217391,0.0,3602.96,34150.0,463,0.1055039531,7.7817710583,0,0.0606405561,0.1112982786
Arthrotec 50,Diclofenac Sodium/Misoprostol,1,Pharmaci/Pfizer,11728.04,1500.0,24.0,7.8186933333,488.66833333,1.0,7495.62,1020.0,17.0,7.3486470588,440.91882353,1.0,9147.1,1230.0,21.0,7.4366666667,435.57619048,1.0,9732.88,1260.0,21.0,7.7245079365,463.47047619,1.0,7947.73,1324.0,23,6.0028172205,345.55347826,1,-0.222886782,-0.063936664
Arthrotec 75,Diclofenac Sodium/Misoprostol,1,Pharmaci/Pfizer,28354.05,4166.0,72.0,6.8060609698,393.80625,1.0,30446.26,3972.0,64.0,7.6652215509,475.7228125,1.0,28523.45,3824.0,53.0,7.4590611925,538.17830189,1.0,18790.43,2100.0,27.0,8.9478238095,695.94185185,1.0,11694.01,1514.0,18,7.7239167768,649.66722222,1,-0.136782648,0.0321324624
Artificial Tears,PEG 400/Hypromellose/Glycerin,1,Geri-Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12231.03,3075.0,304,3.9775707317,40.233651316,1,0.0,0.0
Artificial Tears,Polyvinyl Alcohol/Povidone,1,Chain Drug,0.0,0.0,0.0,0.0,0.0,0.0,2169.73,20001.358,1306.0,0.1084791343,1.6613552833,1.0,7254.49,62035.715,4059.0,0.1169405398,1.787260409,1.0,5977.96,18806.0,1244.0,0.3178751462,4.8054340836,1.0,4842.58,12586.0,837,0.3847592563,5.7856391876,1,0.2104100018,0.5250390185
Artiss,Thrombin/Fibrinog/Aprotin/Calc,1,Baxter Healthca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18201.61,75.0,26.0,251.40332137,700.06192308,1.0,45094.32,150.0,48,305.46618056,939.465,1,0.2150443315,0.2150443315
Arzerra,Ofatumumab,1,Novartis,389460.59,3466.0,42.0,112.50059681,9272.8711905,1.0,385897.09,3541.0,60.0,109.04375807,6431.6181667,1.0,496643.8,4362.0,87.0,108.4194413,5708.5494253,1.0,88997.89,413.5,22.0,205.26497596,4045.3586364,1.0,64196.18,468.0,18,183.08338915,3566.4544444,1,-0.108063184,0.129466955
Asa-Butalb-Caffeine-Codeine,Codeine/Butalbital/Asa/Caffein,1,Amneal Pharmace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231454.82,164837.0,2853.0,1.4041436085,81.12682089,0.0,254831.57,190530.0,3528.0,1.3374879022,72.231170635,0.0,243628.69,179369.0,3242,1.3582541576,75.147652684,0,0.0155263127,-0.016476463
Asacol Hd,Mesalamine,1,Allergan Inc.,3361545.91,429238.0,3231.0,7.8314266444,1040.4041814,0.0,2229344.61,252318.0,1947.0,8.8354560911,1145.015208,0.0,1132583.82,128053.0,865.0,8.8446488563,1309.3454566,0.0,1597991.99,182865.0,1141.0,8.7386432067,1400.5188344,0.0,110627.44,12074.0,103,9.1624515488,1074.0528155,1,0.0484981858,0.0400224203
Asceniv,"Immune Globulin,Gamma(IgG)slra",1,"Adma Biologics,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806983.57,18485.0,48,43.656130376,16812.157708,1,0.0,0.0
Asclera,Polidocanol,1,Merz North Amer,21446.18,882.0,120.0,28.870525626,178.71816667,1.0,11962.88,1897.0,243.0,9.1937120911,49.229958848,1.0,21744.29,1571.0,211.0,27.897815056,103.05350711,1.0,23745.07,533.0,105.0,57.516319197,226.14352381,1.0,15759.51,240.0,56,72.783075215,281.41982143,1,0.2654334671,0.2600678405
